image_path,instruction,action,label
data/raw/images/img_00000.jpg,pick up the red block,PICK,0
data/raw/images/img_00001.jpg,put the object down carefully,PLACE,1
data/raw/images/img_00002.jpg,move the cube away,PUSH,2
data/raw/images/img_00003.jpg,unlock and open the box,OPEN,3
data/raw/images/img_00004.jpg,close the cabinet,CLOSE,4
data/raw/images/img_00005.jpg,pick up the red block,PICK,0
data/raw/images/img_00006.jpg,put the object down carefully,PLACE,1
data/raw/images/img_00007.jpg,move the cube away,PUSH,2
data/raw/images/img_00008.jpg,unlock and open the box,OPEN,3
data/raw/images/img_00009.jpg,close the cabinet,CLOSE,4
data/raw/images/img_00010.jpg,pick up the red block,PICK,0
data/raw/images/img_00011.jpg,put the object down carefully,PLACE,1
data/raw/images/img_00012.jpg,move the cube away,PUSH,2
data/raw/images/img_00013.jpg,unlock and open the box,OPEN,3
data/raw/images/img_00014.jpg,close the cabinet,CLOSE,4
data/raw/images/img_00015.jpg,pick up the red block,PICK,0
data/raw/images/img_00016.jpg,put the object down carefully,PLACE,1
data/raw/images/img_00017.jpg,move the cube away,PUSH,2
data/raw/images/img_00018.jpg,unlock and open the box,OPEN,3
data/raw/images/img_00019.jpg,close the cabinet,CLOSE,4
data/raw/images/img_00020.jpg,pick up the red block,PICK,0
data/raw/images/img_00021.jpg,put the object down carefully,PLACE,1
data/raw/images/img_00022.jpg,move the cube away,PUSH,2
data/raw/images/img_00023.jpg,unlock and open the box,OPEN,3
data/raw/images/img_00024.jpg,close the cabinet,CLOSE,4
data/raw/images/img_00025.jpg,pick up the red block,PICK,0
data/raw/images/img_00026.jpg,put the object down carefully,PLACE,1
data/raw/images/img_00027.jpg,move the cube away,PUSH,2
data/raw/images/img_00028.jpg,unlock and open the box,OPEN,3
data/raw/images/img_00029.jpg,close the cabinet,CLOSE,4
data/raw/images/img_00030.jpg,pick up the red block,PICK,0
data/raw/images/img_00031.jpg,put the object down carefully,PLACE,1
data/raw/images/img_00032.jpg,move the cube away,PUSH,2
data/raw/images/img_00033.jpg,unlock and open the box,OPEN,3
data/raw/images/img_00034.jpg,close the cabinet,CLOSE,4
